group_id	items_in_group	lo_value	p	FDR	goodsgrna
COG7	11	2.3074e-05	1.7196e-04	0.047568	11
ALG14	10	2.5206e-05	1.8026e-04	0.049151	7
NAA15	9	2.5471e-05	1.8389e-04	0.049435	9
RPS11	10	2.6438e-05	1.9115e-04	0.050674	6
COX17	7	2.6945e-05	1.9686e-04	0.051287	7
UTP23	9	2.7078e-05	1.9893e-04	0.051287	9
RMI2	7	2.7517e-05	2.0153e-04	0.051287	7
PDE8A	9	2.7928e-05	2.0516e-04	0.051524	4
DNAH2	11	2.8476e-05	2.0879e-04	0.051755	9
SEC22B	9	3.0137e-05	2.2020e-04	0.052785	9
TAF2	8	3.0287e-05	2.2072e-04	0.052785	6
GPATCH1	5	3.0464e-05	2.2124e-04	0.052785	5
SRSF1	11	3.3377e-05	2.4562e-04	0.057655	10
CNTD2	8	3.4036e-05	2.4769e-04	0.057655	7
SRFBP1	9	3.4607e-05	2.5547e-04	0.058000	9
C19orf70	11	3.4776e-05	2.5651e-04	0.058000	6
RBMX2	11	3.5517e-05	2.6170e-04	0.058000	10
DDX43	11	3.5906e-05	2.6377e-04	0.058000	11
MORN2	11	3.6199e-05	2.6585e-04	0.058000	7
MRPL47	12	3.6532e-05	2.6741e-04	0.058000	10
RPS28	8	3.7341e-05	2.7155e-04	0.058238	6
ATPAF2	9	3.8148e-05	2.7778e-04	0.058911	9
SSU72	6	3.9630e-05	2.8556e-04	0.059458	5
CDC123	9	4.0439e-05	2.9075e-04	0.059458	7
RPL4	8	4.0850e-05	2.9334e-04	0.059458	8
EXOSC4	8	4.0990e-05	2.9334e-04	0.059458	8
MLST8	10	4.1217e-05	2.9594e-04	0.059458	9
FARSB	7	4.1716e-05	3.0112e-04	0.059870	7
UFSP1	7	4.6296e-05	3.3328e-04	0.065581	7
UBA2	8	4.7308e-05	3.4314e-04	0.065891	8
GPKOW	10	4.7509e-05	3.4470e-04	0.065891	10
EPC2	11	4.7615e-05	3.4521e-04	0.065891	11
NARS	8	4.9039e-05	3.5248e-04	0.066279	8
TRNAU1AP	10	4.9804e-05	3.5766e-04	0.066279	10
MRTO4	10	4.9887e-05	3.5766e-04	0.066279	10
EMC2	8	5.1905e-05	3.7582e-04	0.066878	8
OST4	8	5.2127e-05	3.7634e-04	0.066878	8
CWF19L1	7	5.2128e-05	3.7634e-04	0.066878	7
TMCO3	10	5.2404e-05	3.7738e-04	0.066878	7
MCM3	9	5.2609e-05	3.7841e-04	0.066878	9
RPL12	9	5.4668e-05	3.9190e-04	0.067760	9
UCKL1	11	5.4758e-05	3.9190e-04	0.067760	9
MRPL10	8	5.5173e-05	3.9553e-04	0.067760	8
CINP	11	5.5632e-05	3.9761e-04	0.067760	9
AHCY	9	5.7869e-05	4.1524e-04	0.069436	9
MARS	11	5.8097e-05	4.1732e-04	0.069436	11
SCUBE2	7	5.8323e-05	4.1836e-04	0.069436	6
AKAP10	8	5.9513e-05	4.2406e-04	0.069776	8
RPUSD4	11	6.0404e-05	4.3184e-04	0.070449	10
NDC80	7	6.1926e-05	4.4844e-04	0.071485	7
ARL2	8	6.2182e-05	4.4948e-04	0.071485	8
FKBP9	11	6.2566e-05	4.5311e-04	0.071485	5
OR51B5	10	6.3012e-05	4.5778e-04	0.071485	10
PIGS	6	6.3892e-05	4.6193e-04	0.071485	6
RPS23	8	6.4553e-05	4.6400e-04	0.071485	8
PSMG1	8	6.4771e-05	4.6504e-04	0.071485	8
POLRMT	8	6.5515e-05	4.6815e-04	0.071485	8
DDX55	10	6.9105e-05	4.8994e-04	0.074218	7
RPL11	8	7.1092e-05	5.0343e-04	0.075133	8
MRPS31	7	7.1403e-05	5.0602e-04	0.075133	7
C11orf16	9	7.1594e-05	5.0810e-04	0.075133	6
MRPL48	11	7.1911e-05	5.1173e-04	0.075133	11
RBMXL2	8	7.4474e-05	5.2988e-04	0.076845	5
NFKBIE	12	7.4642e-05	5.3144e-04	0.076845	6
SPG7	9	7.5873e-05	5.3818e-04	0.077235	9
FJX1	8	7.8313e-05	5.5374e-04	0.078875	8
PSMA5	9	7.9731e-05	5.6619e-04	0.080051	8
LSM2	6	8.2092e-05	5.8072e-04	0.080170	6
HUWE1	9	8.2529e-05	5.8279e-04	0.080170	6
HEY1	10	8.2687e-05	5.8331e-04	0.080170	10
TXNDC5	5	8.3034e-05	5.8383e-04	0.080170	4
VNN1	12	8.4419e-05	5.9213e-04	0.080728	7
TRAPPC4	10	8.8204e-05	6.1755e-04	0.082749	9
TFEB	9	8.8234e-05	6.1755e-04	0.082749	9
WDR43	9	8.9007e-05	6.2222e-04	0.082749	9
ELP6	11	8.9226e-05	6.2429e-04	0.082749	9
GLTSCR2	8	9.3129e-05	6.5334e-04	0.086002	8
SPDL1	9	9.8028e-05	6.8498e-04	0.089550	9
GTF2A2	8	9.8791e-05	6.9069e-04	0.089681	8
RIMS4	8	1.0032e-04	7.0054e-04	0.090347	8
ATE1	10	1.0090e-04	7.0677e-04	0.090538	8
NRF1	12	1.0292e-04	7.1974e-04	0.091584	10
SKA2	10	1.0408e-04	7.2804e-04	0.091859	9
C9orf78	10	1.0531e-04	7.3582e-04	0.091859	10
FAM171A2	7	1.0539e-04	7.3634e-04	0.091859	7
ZPR1	9	1.0733e-04	7.4567e-04	0.091969	9
TAF1B	7	1.0861e-04	7.5345e-04	0.091969	7
PTGER1	10	1.0889e-04	7.5449e-04	0.091969	9
ARMC7	9	1.0976e-04	7.6279e-04	0.091969	8
RHEB	10	1.1009e-04	7.6539e-04	0.091969	7
MRPL54	6	1.1119e-04	7.7109e-04	0.091969	6
MED31	6	1.1130e-04	7.7161e-04	0.091969	5
GUSB	12	1.1200e-04	7.7576e-04	0.091969	12
MPV17L2	8	1.1247e-04	7.8250e-04	0.092195	8
POLR3K	7	1.1919e-04	8.3386e-04	0.097643	7
CCT8	10	1.2094e-04	8.5149e-04	0.098565	10
RITA1	10	1.2190e-04	8.5668e-04	0.098565	10
OXSR1	7	1.2269e-04	8.6239e-04	0.098565	6
G6PD	10	1.2273e-04	8.6239e-04	0.098565	10
TRMT61A	11	1.2459e-04	8.7172e-04	0.099039	9
FAM110A	7	1.2653e-04	8.8366e-04	0.099801	7
CDC45	9	1.2909e-04	9.0544e-04	0.101660	6
KIF4A	8	1.3202e-04	9.3086e-04	0.102942	8
DUT	9	1.3203e-04	9.3086e-04	0.102942	9
PFN1	12	1.3296e-04	9.3708e-04	0.102942	11
BUD13	7	1.3385e-04	9.4331e-04	0.102942	4
RBM14	7	1.3416e-04	9.4383e-04	0.102942	7
CIITA	11	1.3933e-04	9.7599e-04	0.105415	10
LRRC26	5	1.3964e-04	9.7755e-04	0.105415	4
TTC4	11	1.4196e-04	9.9207e-04	0.105763	9
PREB	10	1.4438e-04	1.0040e-03	0.105763	9
MRPS18B	9	1.4453e-04	1.0040e-03	0.105763	7
C19orf53	9	1.4461e-04	1.0045e-03	0.105763	9
C12orf29	8	1.4567e-04	1.0092e-03	0.105763	8
SSBP4	8	1.4702e-04	1.0180e-03	0.105763	8
PARP10	9	1.4728e-04	1.0196e-03	0.105763	8
CCT4	12	1.5215e-04	1.0564e-03	0.108991	10
SAT2	6	1.5403e-04	1.0720e-03	0.110002	6
ACTR6	11	1.5696e-04	1.0969e-03	0.111955	8
DDX47	12	1.5923e-04	1.1145e-03	0.113150	8
GINS2	9	1.6279e-04	1.1420e-03	0.114773	9
CDC23	9	1.6294e-04	1.1425e-03	0.114773	5
PHKB	9	1.6576e-04	1.1581e-03	0.115151	9
CRAT	9	1.6581e-04	1.1583e-03	0.115151	8
MZT1	10	1.6700e-04	1.1664e-03	0.115349	9
METTL3	7	1.7080e-04	1.1876e-03	0.115748	7
UBE2M	7	1.7345e-04	1.2006e-03	0.115748	7
EXOC3	6	1.7376e-04	1.2037e-03	0.115748	6
TEFM	8	1.7382e-04	1.2042e-03	0.115748	7
IGLON5	5	1.7435e-04	1.2084e-03	0.115748	5
EHD4	9	1.7516e-04	1.2130e-03	0.115748	7
TUBG1	10	1.7555e-04	1.2162e-03	0.115748	9
DONSON	7	1.7637e-04	1.2219e-03	0.115748	7
SLC35G3	9	1.7664e-04	1.2250e-03	0.115748	9
SLC25A31	9	1.7789e-04	1.2343e-03	0.116056	9
TAF1C	11	1.8204e-04	1.2592e-03	0.117817	7
ZMAT5	9	1.8370e-04	1.2732e-03	0.118451	9
VPS13D	7	1.8467e-04	1.2784e-03	0.118451	7
ACTB	6	1.8614e-04	1.2883e-03	0.118788	6
ATP6V1C1	11	1.8885e-04	1.3111e-03	0.120311	6
BRAF	8	1.9047e-04	1.3204e-03	0.120323	8
TRPA1	9	1.9296e-04	1.3365e-03	0.120323	8
TAF5	9	1.9331e-04	1.3375e-03	0.120323	9
SCNM1	8	1.9358e-04	1.3391e-03	0.120323	5
TBCD	10	1.9429e-04	1.3427e-03	0.120323	10
ATP6V0B	11	1.9966e-04	1.3842e-03	0.121756	11
DDX56	9	2.0101e-04	1.3951e-03	0.121756	9
TAF13	6	2.0221e-04	1.4089e-03	0.121756	4
ISCA2	10	2.0235e-04	1.4102e-03	0.121756	10
MRPL41	9	2.0261e-04	1.4112e-03	0.121756	9
ACP2	6	2.0302e-04	1.4141e-03	0.121756	6
LSM10	10	2.0336e-04	1.4159e-03	0.121756	10
UTP20	6	2.0493e-04	1.4273e-03	0.121756	5
IPO13	7	2.0566e-04	1.4294e-03	0.121756	7
HTT	11	2.0638e-04	1.4330e-03	0.121756	8
SYCP2	8	2.0767e-04	1.4413e-03	0.121756	7
CNOT3	8	2.0790e-04	1.4434e-03	0.121756	7
AFAP1	7	2.0805e-04	1.4439e-03	0.121756	6
TESK1	8	2.0869e-04	1.4480e-03	0.121756	8
ZER1	10	2.1008e-04	1.4563e-03	0.121917	9
COX7B	5	2.1333e-04	1.4807e-03	0.122895	5
RPL10	9	2.1395e-04	1.4859e-03	0.122895	9
INSRR	10	2.1644e-04	1.4999e-03	0.122895	4
MTCH2	8	2.1672e-04	1.5015e-03	0.122895	7
FANCG	6	2.1736e-04	1.5061e-03	0.122895	6
HSPA9	7	2.1737e-04	1.5066e-03	0.122895	7
TCN2	9	2.2119e-04	1.5243e-03	0.123805	9
TSEN54	10	2.2300e-04	1.5419e-03	0.124706	10
PTPRJ	8	2.2490e-04	1.5518e-03	0.124974	7
CCT5	9	2.2766e-04	1.5710e-03	0.125917	8
C6orf136	9	2.2844e-04	1.5767e-03	0.125917	8
WDR73	9	2.3175e-04	1.5990e-03	0.127097	9
ERH	10	2.3257e-04	1.6052e-03	0.127097	10
EIF3G	10	2.3373e-04	1.6114e-03	0.127097	10
BDP1	8	2.3596e-04	1.6301e-03	0.128041	7
LETM1	11	2.3892e-04	1.6509e-03	0.129015	8
C1orf109	8	2.4002e-04	1.6607e-03	0.129015	8
MARS2	6	2.4035e-04	1.6628e-03	0.129015	6
ATP6V1E1	10	2.4989e-04	1.7173e-03	0.132465	7
CDK20	11	2.5254e-04	1.7354e-03	0.132465	11
MCCC2	8	2.5299e-04	1.7390e-03	0.132465	7
BAZ1A	9	2.5434e-04	1.7468e-03	0.132465	9
ZNF511	7	2.5441e-04	1.7473e-03	0.132465	5
SSTR2	11	2.5449e-04	1.7489e-03	0.132465	8
SCFD1	9	2.5926e-04	1.7816e-03	0.134046	9
SNRPA1	9	2.5991e-04	1.7862e-03	0.134046	7
CLDN6	9	2.6137e-04	1.7992e-03	0.134046	7
KIF23	11	2.6183e-04	1.8034e-03	0.134046	8
ZACN	8	2.6208e-04	1.8060e-03	0.134046	8
CCL25	10	2.6346e-04	1.8137e-03	0.134046	10
DBR1	6	2.6427e-04	1.8189e-03	0.134046	6
RPS6	10	2.6561e-04	1.8288e-03	0.134254	10
SLC39A7	9	2.6908e-04	1.8511e-03	0.134747	8
PRSS38	11	2.7058e-04	1.8604e-03	0.134747	9
LRRC58	5	2.7136e-04	1.8666e-03	0.134747	5
THEMIS2	7	2.7171e-04	1.8687e-03	0.134747	6
ORAI1	6	2.7196e-04	1.8708e-03	0.134747	5
PDZD7	7	2.7487e-04	1.8900e-03	0.135618	6
HSP90B1	8	2.7691e-04	1.9040e-03	0.136111	4
RICTOR	9	2.8212e-04	1.9476e-03	0.137792	8
HIST1H4C	5	2.8250e-04	1.9496e-03	0.137792	5
ZNF554	7	2.8260e-04	1.9496e-03	0.137792	7
UQCRC1	10	2.8349e-04	1.9564e-03	0.137792	9
ABT1	8	2.8936e-04	1.9948e-03	0.138214	8
BPHL	7	2.9054e-04	2.0010e-03	0.138214	7
ZNF608	8	2.9302e-04	2.0181e-03	0.138214	8
RECQL4	8	2.9351e-04	2.0223e-03	0.138214	8
PPP2R5D	7	2.9384e-04	2.0249e-03	0.138214	4
PCSK4	8	2.9464e-04	2.0311e-03	0.138214	8
RAB33B	8	2.9547e-04	2.0368e-03	0.138214	8
INTS4	5	2.9557e-04	2.0373e-03	0.138214	5
IFNA4	10	2.9579e-04	2.0378e-03	0.138214	9
HLA-F	9	2.9649e-04	2.0425e-03	0.138214	8
SUPT16H	9	2.9772e-04	2.0487e-03	0.138214	9
TMCO6	11	2.9928e-04	2.0581e-03	0.138214	9
TONSL	7	2.9974e-04	2.0607e-03	0.138214	7
KRTAP5-10	8	3.0034e-04	2.0638e-03	0.138214	6
SULT1C2	9	3.0542e-04	2.1006e-03	0.140189	9
NHEJ1	9	3.0739e-04	2.1125e-03	0.140494	8
RPL35A	10	3.1283e-04	2.1519e-03	0.141014	9
CYP21A2	6	3.1307e-04	2.1530e-03	0.141014	6
MTHFD2	8	3.1311e-04	2.1535e-03	0.141014	8
CIRH1A	10	3.1345e-04	2.1561e-03	0.141014	9
BRAT1	11	3.1397e-04	2.1608e-03	0.141014	10
EIF3H	8	3.1457e-04	2.1660e-03	0.141014	7
CHADL	8	3.1568e-04	2.1753e-03	0.141014	8
RPAP2	8	3.1634e-04	2.1794e-03	0.141014	8
AK6	10	3.1749e-04	2.1883e-03	0.141106	9
RGP1	10	3.2102e-04	2.2054e-03	0.141731	8
JSRP1	8	3.2269e-04	2.2152e-03	0.141887	4
LTBP4	10	3.3861e-04	2.3252e-03	0.148268	7
MRPL21	9	3.4015e-04	2.3382e-03	0.148268	7
NKAP	9	3.4016e-04	2.3382e-03	0.148268	9
RUNX2	8	3.4640e-04	2.3817e-03	0.150230	8
GPR37L1	10	3.4684e-04	2.3849e-03	0.150230	10
SFRP4	8	3.5093e-04	2.4098e-03	0.151300	3
ENAH	9	3.5252e-04	2.4207e-03	0.151346	9
ATPAF1	9	3.5341e-04	2.4264e-03	0.151346	8
SPATA5	9	3.5567e-04	2.4424e-03	0.151778	9
ATP6V0E1	10	3.5766e-04	2.4492e-03	0.151778	9
KLF14	8	3.6262e-04	2.4741e-03	0.152825	7
VPS52	9	3.7001e-04	2.5249e-03	0.155376	9
SNRPC	9	3.7147e-04	2.5317e-03	0.155376	8
TRAPPC8	8	3.7518e-04	2.5555e-03	0.156028	7
SASS6	10	3.7543e-04	2.5586e-03	0.156028	8
MTA2	3	3.8240e-04	2.6017e-03	0.157376	3
THOC7	9	3.8394e-04	2.6079e-03	0.157376	9
SDC2	8	3.8431e-04	2.6110e-03	0.157376	7
EXOSC8	8	3.8472e-04	2.6152e-03	0.157376	8
PIAS4	5	3.8647e-04	2.6255e-03	0.157376	5
UBR4	9	3.8719e-04	2.6302e-03	0.157376	6
CRB3	10	3.9029e-04	2.6510e-03	0.158122	10
RIF1	9	3.9503e-04	2.6795e-03	0.159162	9
POM121L2	10	3.9721e-04	2.6956e-03	0.159162	9
SOX8	8	3.9803e-04	2.6987e-03	0.159162	8
ESPN	8	3.9969e-04	2.7075e-03	0.159162	8
ROMO1	8	4.0038e-04	2.7101e-03	0.159162	8
RCBTB1	8	4.0687e-04	2.7589e-03	0.161445	8
ARHGDIG	9	4.0869e-04	2.7692e-03	0.161445	8
WFDC8	10	4.1103e-04	2.7832e-03	0.161445	10
MORN1	10	4.1332e-04	2.7952e-03	0.161445	7
RRP9	11	4.1637e-04	2.8102e-03	0.161445	10
TTC30A	6	4.1704e-04	2.8118e-03	0.161445	6
POLR1E	8	4.1784e-04	2.8185e-03	0.161445	7
KAT8	8	4.1904e-04	2.8232e-03	0.161445	8
PYROXD2	9	4.1964e-04	2.8271e-03	0.161445	8
SLAIN1	9	4.2059e-04	2.8336e-03	0.161445	7
SERPINA3	8	4.2196e-04	2.8429e-03	0.161495	3
CCDC174	7	4.3501e-04	2.9238e-03	0.164799	6
ANAPC4	8	4.3605e-04	2.9316e-03	0.164799	8
PRAMEF14	7	4.3628e-04	2.9321e-03	0.164799	5
SCRIB	11	4.3727e-04	2.9373e-03	0.164799	10
PSTPIP1	12	4.3834e-04	2.9492e-03	0.164799	9
INTS8	9	4.3879e-04	2.9529e-03	0.164799	9
RHBDF2	9	4.4306e-04	2.9840e-03	0.165059	8
MICU1	7	4.4386e-04	2.9887e-03	0.165059	6
TMEM30B	8	4.4580e-04	3.0001e-03	0.165059	8
PROC	8	4.4725e-04	3.0063e-03	0.165059	8
EEA1	7	4.4790e-04	3.0094e-03	0.165059	7
CTF1	8	4.4795e-04	3.0094e-03	0.165059	8
ATP6V1B2	10	4.5416e-04	3.0452e-03	0.166124	7
SYNE4	10	4.5445e-04	3.0462e-03	0.166124	8
SRSF3	10	4.6482e-04	3.1126e-03	0.169034	9
PGRMC1	10	4.6571e-04	3.1173e-03	0.169034	7
TMEM214	10	4.6901e-04	3.1396e-03	0.169282	10
RAB6B	9	4.6916e-04	3.1396e-03	0.169282	6
FADS3	3	4.7383e-04	3.1655e-03	0.170199	3
KCNJ4	9	4.7902e-04	3.1972e-03	0.170764	9
CSH2	6	4.7932e-04	3.1987e-03	0.170764	6
OR6Q1	9	4.8031e-04	3.2029e-03	0.170764	8
C7orf60	6	4.8335e-04	3.2273e-03	0.171585	6
SEMA4C	7	4.9168e-04	3.2786e-03	0.173131	7
EVPLL	9	4.9357e-04	3.2911e-03	0.173131	9
RPS2	6	4.9367e-04	3.2916e-03	0.173131	5
TGFBI	9	4.9409e-04	3.2926e-03	0.173131	8
B3GNT3	7	4.9662e-04	3.3098e-03	0.173322	6
HIST2H2AB	10	4.9741e-04	3.3144e-03	0.173322	8
POLI	7	5.0186e-04	3.3398e-03	0.173753	7
EREG	8	5.0220e-04	3.3409e-03	0.173753	8
CENPN	11	5.0406e-04	3.3601e-03	0.174276	9
PEPD	8	5.0628e-04	3.3756e-03	0.174609	8
NES	8	5.0860e-04	3.3933e-03	0.175047	4
IGSF8	9	5.1079e-04	3.4088e-03	0.175376	9
GCK	9	5.1195e-04	3.4197e-03	0.175463	9
STK4	6	5.1707e-04	3.4591e-03	0.177010	2
ARFGAP2	7	5.1935e-04	3.4747e-03	0.177331	7
SLC16A8	3	5.2275e-04	3.4975e-03	0.177758	3
PEBP4	9	5.2439e-04	3.5027e-03	0.177758	4
NUPL1	5	5.2571e-04	3.5110e-03	0.177758	5
CNBD1	7	5.2827e-04	3.5328e-03	0.178388	7
DNAJA3	4	5.3108e-04	3.5494e-03	0.178753	4
JUNB	9	5.3465e-04	3.5660e-03	0.178777	8
ALG11	7	5.3500e-04	3.5686e-03	0.178777	7
ISYNA1	9	5.4114e-04	3.6106e-03	0.180408	9
ZNF546	7	5.4351e-04	3.6225e-03	0.180531	7
CDC37	8	5.4840e-04	3.6532e-03	0.181583	8
GPN2	6	5.5152e-04	3.6708e-03	0.181985	6
KATNB1	10	5.5445e-04	3.6895e-03	0.182437	9
ACTN3	11	5.5867e-04	3.7164e-03	0.182849	7
RFX1	6	5.5873e-04	3.7170e-03	0.182849	6
ASNA1	10	5.6295e-04	3.7408e-03	0.183257	5
ZNF768	5	5.6385e-04	3.7444e-03	0.183257	5
HFM1	10	5.6732e-04	3.7725e-03	0.183622	5
SULT4A1	6	5.6881e-04	3.7802e-03	0.183622	6
RPS7	9	5.6898e-04	3.7808e-03	0.183622	9
WDR92	8	5.7085e-04	3.7942e-03	0.183809	3
ADAM9	9	5.7462e-04	3.8181e-03	0.183977	9
LRP10	7	5.7487e-04	3.8191e-03	0.183977	7
MOSPD2	7	5.7713e-04	3.8326e-03	0.183977	6
PPIAL4G	9	5.7749e-04	3.8363e-03	0.183977	7
JPH3	5	5.8461e-04	3.8819e-03	0.184161	5
RNF14	9	5.8635e-04	3.8938e-03	0.184161	4
ANKRD18A	7	5.8703e-04	3.8975e-03	0.184161	6
ALAD	10	5.8724e-04	3.8980e-03	0.184161	8
SLC39A10	8	5.8728e-04	3.8980e-03	0.184161	8
CTNNBL1	8	5.8728e-04	3.8980e-03	0.184161	8
SDHA	6	5.8980e-04	3.9120e-03	0.184366	6
RPL10A	10	5.9375e-04	3.9379e-03	0.185131	10
PKDREJ	6	5.9787e-04	3.9639e-03	0.185500	5
USF1	7	6.0147e-04	3.9851e-03	0.185500	5
HYPK	10	6.0185e-04	3.9893e-03	0.185500	9
SEC61A1	7	6.0559e-04	4.0121e-03	0.185500	5
TRIP10	11	6.0567e-04	4.0126e-03	0.185500	10
PITPNC1	6	6.0714e-04	4.0225e-03	0.185500	4
LZTS2	9	6.0719e-04	4.0225e-03	0.185500	6
RPL35	10	6.0751e-04	4.0235e-03	0.185500	9
BCL6B	7	6.1262e-04	4.0583e-03	0.185923	7
RPLP2	10	6.1295e-04	4.0619e-03	0.185923	8
GRPEL1	8	6.1300e-04	4.0619e-03	0.185923	8
IL32	8	6.1986e-04	4.1122e-03	0.187775	8
PDE7A	10	6.2101e-04	4.1242e-03	0.187871	8
DERL1	10	6.2604e-04	4.1470e-03	0.188036	10
TMEM258	11	6.2613e-04	4.1475e-03	0.188036	10
LMOD3	9	6.3487e-04	4.1963e-03	0.189734	9
LOC79999	6	6.3787e-04	4.2123e-03	0.189734	6
NOC3L	9	6.3844e-04	4.2160e-03	0.189734	8
HEMGN	8	6.4201e-04	4.2336e-03	0.189734	8
ISCA1	10	6.4209e-04	4.2346e-03	0.189734	8
RAB22A	10	6.4414e-04	4.2487e-03	0.189916	9
SOD1	9	6.5158e-04	4.2933e-03	0.191462	9
PAQR4	8	6.5591e-04	4.3270e-03	0.192515	6
EIF3I	12	6.5934e-04	4.3519e-03	0.192748	7
PHOX2A	8	6.5942e-04	4.3524e-03	0.192748	8
EXO5	8	6.6180e-04	4.3659e-03	0.192897	6
TMPRSS7	10	6.6564e-04	4.3897e-03	0.193504	7
MED11	6	6.7016e-04	4.4261e-03	0.194655	6
PRPH	7	6.7246e-04	4.4416e-03	0.194829	7
PLB1	9	6.7374e-04	4.4504e-03	0.194829	9
CHMP6	9	6.7803e-04	4.4733e-03	0.195380	9
SPDYE5	7	6.8500e-04	4.5210e-03	0.196903	7
ZBED8	7	6.8669e-04	4.5288e-03	0.196903	7
MTHFD1	11	6.9421e-04	4.5780e-03	0.198594	8
TNKS1BP1	7	6.9774e-04	4.6071e-03	0.199401	7
CCNL2	9	7.0499e-04	4.6543e-03	0.200988	6
MRPS11	11	7.1634e-04	4.7274e-03	0.203650	9
CSTB	7	7.1785e-04	4.7373e-03	0.203650	7
WDR88	5	7.2226e-04	4.7586e-03	0.204105	4
JPH1	6	7.2411e-04	4.7721e-03	0.204225	6
ASAH2	9	7.2826e-04	4.7912e-03	0.204271	9
PPA1	10	7.2990e-04	4.8006e-03	0.204271	8
NONO	10	7.3040e-04	4.8053e-03	0.204271	7
NUP98	9	7.3766e-04	4.8509e-03	0.204553	9
ARC	6	7.3808e-04	4.8525e-03	0.204553	5
PRDX6	10	7.4307e-04	4.8799e-03	0.204553	10
