group_id	items_in_group	lo_value	p	FDR	goodsgrna
SLC36A4	12	2.6730e-05	2.0153e-04	0.052692	8
negative24	10	2.9631e-05	2.1864e-04	0.056396	9
negative62	11	3.3815e-05	2.4406e-04	0.062112	10
ASCL5	9	3.4561e-05	2.4873e-04	0.062467	8
negative27	11	3.9697e-05	2.9075e-04	0.072071	9
TUBD1	11	4.2063e-05	3.0838e-04	0.074884	10
ZNF841	11	4.2462e-05	3.0994e-04	0.074884	9
negative55	10	4.5192e-05	3.2810e-04	0.078280	9
TTLL5	10	4.8124e-05	3.4366e-04	0.080980	9
negative26	12	4.9878e-05	3.5715e-04	0.082331	9
PRELID2	10	5.0228e-05	3.6026e-04	0.082331	8
TIGD7	11	5.0515e-05	3.6233e-04	0.082331	9
LGMN	2	5.2055e-05	3.7219e-04	0.082719	2
AKR1B10	12	5.2185e-05	3.7271e-04	0.082719	11
MYF6	11	5.3864e-05	3.8568e-04	0.083268	8
RNF44	12	5.4226e-05	3.8723e-04	0.083268	10
FAM46D	2	5.4410e-05	3.8827e-04	0.083268	2
negative13	12	5.6798e-05	4.0227e-04	0.085170	9
TRIM42	12	5.7454e-05	4.0642e-04	0.085170	11
OR10AG1	9	5.7974e-05	4.1057e-04	0.085170	9
OR6K6	9	5.8643e-05	4.1498e-04	0.085170	9
C20orf173	9	5.9669e-05	4.2354e-04	0.086002	8
SPATA33	2	6.0717e-05	4.3132e-04	0.086660	2
MCF2	10	6.2165e-05	4.4325e-04	0.087629	7
OR56A5	10	6.2646e-05	4.4533e-04	0.087629	9
negative227	9	6.4418e-05	4.5259e-04	0.088149	9
FBXO44	2	6.6255e-05	4.6193e-04	0.088267	2
TCHHL1	11	6.6386e-05	4.6245e-04	0.088267	9
OR4K1	12	6.8221e-05	4.7593e-04	0.089546	10
negative54	11	6.8441e-05	4.7853e-04	0.089546	10
DBF4	11	6.9349e-05	4.8631e-04	0.090013	10
MARK3	2	7.0046e-05	4.9046e-04	0.090013	2
ADIPOQ	2	7.1508e-05	5.0083e-04	0.091042	2
SSR3	8	7.5842e-05	5.2573e-04	0.094667	7
CD247	2	7.6635e-05	5.3248e-04	0.094839	2
ASIC5	11	7.7169e-05	5.3663e-04	0.094839	10
TMEM205	2	7.8493e-05	5.4752e-04	0.095219	2
EYA4	9	7.8890e-05	5.4908e-04	0.095219	8
negative53	12	7.9922e-05	5.5374e-04	0.095219	9
UBTFL1	10	8.0576e-05	5.5945e-04	0.095341	9
PTK2	2	8.3067e-05	5.7864e-04	0.097374	2
RHOC	2	8.5460e-05	5.8850e-04	0.097374	2
FSTL4	12	8.5604e-05	5.8954e-04	0.097374	9
MAGEB5	9	8.6899e-05	5.9939e-04	0.097374	9
CDC14A	2	8.7189e-05	5.9991e-04	0.097374	2
CNGA3	2	8.7538e-05	6.0199e-04	0.097374	2
LPAR5	12	8.9610e-05	6.1080e-04	0.097401	10
ANKRD34C	12	8.9913e-05	6.1236e-04	0.097401	8
SMOC2	2	9.2842e-05	6.3155e-04	0.099624	2
PCDHA10	2	9.4886e-05	6.4089e-04	0.100268	2
CBX1	2	9.6221e-05	6.4971e-04	0.100821	2
EBLN2	12	9.8011e-05	6.5645e-04	0.100950	9
negative74	12	9.8724e-05	6.6112e-04	0.100950	8
MDH1B	2	1.0493e-04	7.0677e-04	0.106611	2
GSG1L2	6	1.0583e-04	7.0936e-04	0.106611	3
GJD4	10	1.1044e-04	7.4360e-04	0.109330	7
ARMCX5	2	1.1060e-04	7.4412e-04	0.109330	2
GORASP1	12	1.1093e-04	7.4464e-04	0.109330	10
DDA1	6	1.1191e-04	7.5086e-04	0.109402	5
TGM5	12	1.1893e-04	7.9651e-04	0.115174	10
DCST2	12	1.1992e-04	8.0273e-04	0.115201	8
OR5T2	12	1.2310e-04	8.2348e-04	0.117297	10
FIBP	2	1.2626e-04	8.4268e-04	0.118266	2
IL1R1	11	1.2634e-04	8.4268e-04	0.118266	10
C15orf53	11	1.3073e-04	8.6913e-04	0.121088	10
CBFB	2	1.3869e-04	9.1789e-04	0.125333	2
NEK5	8	1.3893e-04	9.1945e-04	0.125333	8
negative41	10	1.3931e-04	9.2100e-04	0.125333	7
SLC38A6	11	1.4240e-04	9.4020e-04	0.125333	9
ALAS2	11	1.4291e-04	9.4331e-04	0.125333	9
CCR9	11	1.4347e-04	9.4590e-04	0.125333	8
DEPDC5	2	1.4445e-04	9.5161e-04	0.125333	2
LLPH	10	1.4459e-04	9.5213e-04	0.125333	8
negative319	11	1.4599e-04	9.5939e-04	0.125424	7
negative77	10	1.5250e-04	1.0050e-03	0.130075	8
negative66	12	1.5381e-04	1.0118e-03	0.130075	10
NEBL	12	1.5448e-04	1.0154e-03	0.130075	10
negative264	11	1.5859e-04	1.0429e-03	0.132706	8
negative141	8	1.6522e-04	1.0828e-03	0.136876	6
KLHL41	10	1.6698e-04	1.0937e-03	0.137028	8
ZCCHC16	11	1.6773e-04	1.0984e-03	0.137028	10
ACTN1	10	1.7410e-04	1.1420e-03	0.141393	9
PDF	6	1.7506e-04	1.1482e-03	0.141393	3
ABCG5	10	1.7776e-04	1.1658e-03	0.142644	8
F2RL3	9	1.8672e-04	1.2260e-03	0.147550	6
negative315	10	1.8673e-04	1.2260e-03	0.147550	8
LRRTM1	12	1.8733e-04	1.2291e-03	0.147550	6
WDYHV1	11	1.9076e-04	1.2509e-03	0.149226	9
SSH2	11	1.9497e-04	1.2805e-03	0.151157	10
SRGAP2C	8	1.9633e-04	1.2888e-03	0.151157	7
LOXHD1	10	1.9678e-04	1.2909e-03	0.151157	9
FRRS1L	8	2.0066e-04	1.3220e-03	0.153858	7
SRR	8	2.0342e-04	1.3360e-03	0.154545	7
PLEKHG1	10	2.0735e-04	1.3661e-03	0.157074	9
ZBBX	12	2.1139e-04	1.3879e-03	0.157856	9
DUPD1	10	2.1168e-04	1.3894e-03	0.157856	7
NCMAP	10	2.1322e-04	1.4019e-03	0.158328	9
MOB3A	12	2.1890e-04	1.4387e-03	0.161282	8
KCNMB3	11	2.2020e-04	1.4449e-03	0.161282	10
TTC34	6	2.3312e-04	1.5139e-03	0.168000	4
OLIG3	6	2.3824e-04	1.5549e-03	0.171550	6
GRAPL	10	2.4311e-04	1.5850e-03	0.173865	7
CYP8B1	9	2.4660e-04	1.6021e-03	0.174738	6
WWP1	11	2.4912e-04	1.6151e-03	0.175152	8
STS	10	2.5105e-04	1.6270e-03	0.175449	9
MUC19	11	2.6165e-04	1.6986e-03	0.180886	9
OR9Q1	11	2.6257e-04	1.7053e-03	0.180886	9
negative42	12	2.6269e-04	1.7058e-03	0.180886	7
CHI3L2	12	2.6504e-04	1.7204e-03	0.181418	6
CLDN8	10	2.7217e-04	1.7650e-03	0.184132	6
ADTRP	9	2.7398e-04	1.7738e-03	0.184132	8
ZNF443	12	2.7528e-04	1.7816e-03	0.184132	10
PHOSPHO1	9	2.7656e-04	1.7847e-03	0.184132	6
CYLC2	12	2.8048e-04	1.8080e-03	0.184968	9
EXOC6	10	2.8084e-04	1.8122e-03	0.184968	9
PALM2	12	2.9323e-04	1.9066e-03	0.193570	10
OR6M1	10	3.0285e-04	1.9662e-03	0.197061	7
PRR20B	9	3.0289e-04	1.9662e-03	0.197061	5
DOLPP1	8	3.0407e-04	1.9720e-03	0.197061	4
DTNB	10	3.1038e-04	2.0051e-03	0.199335	7
NR3C2	11	3.1452e-04	2.0280e-03	0.200371	9
OR10Z1	6	3.1888e-04	2.0498e-03	0.200371	6
NBL1	4	3.1902e-04	2.0508e-03	0.200371	4
negative7	12	3.2105e-04	2.0653e-03	0.200371	6
PAX4	12	3.2232e-04	2.0726e-03	0.200371	8
negative10	11	3.2342e-04	2.0809e-03	0.200371	7
ZBTB1	11	3.2581e-04	2.0949e-03	0.200371	7
MYH6	9	3.2698e-04	2.0996e-03	0.200371	8
AGTPBP1	11	3.3041e-04	2.1185e-03	0.201172	9
KCTD19	10	3.3647e-04	2.1519e-03	0.203338	8
ZC3H12C	8	3.3968e-04	2.1711e-03	0.204141	7
SGK1	10	3.4241e-04	2.1883e-03	0.204742	9
ASB18	10	3.5004e-04	2.2375e-03	0.208331	6
TCF12	10	3.5633e-04	2.2723e-03	0.208746	7
FAM149A	5	3.5642e-04	2.2728e-03	0.208746	5
C22orf24	11	3.5929e-04	2.2868e-03	0.208746	9
ZNF347	11	3.5983e-04	2.2899e-03	0.208746	7
negative36	11	3.6097e-04	2.2967e-03	0.208746	6
negative3	11	3.6788e-04	2.3377e-03	0.210980	9
CELA2B	11	3.6886e-04	2.3434e-03	0.210980	9
IFNA8	10	3.7099e-04	2.3558e-03	0.211105	9
NLRP11	9	3.7439e-04	2.3771e-03	0.212015	7
HCRTR2	5	3.8157e-04	2.4165e-03	0.213074	3
OR51D1	9	3.8360e-04	2.4243e-03	0.213074	5
TIMM17B	11	3.8431e-04	2.4295e-03	0.213074	8
PES1	8	3.8655e-04	2.4430e-03	0.213074	7
GPR82	11	3.8829e-04	2.4513e-03	0.213074	7
CLEC16A	10	3.8902e-04	2.4559e-03	0.213074	7
TIMM8B	9	3.9247e-04	2.4787e-03	0.214081	6
KREMEN1	11	3.9619e-04	2.5016e-03	0.214131	8
RGS7	11	3.9866e-04	2.5130e-03	0.214131	6
OR10H3	10	3.9871e-04	2.5130e-03	0.214131	6
TECTA	12	4.1713e-04	2.6152e-03	0.221377	8
TDGF1	8	4.1895e-04	2.6250e-03	0.221377	5
COX7A1	8	4.1968e-04	2.6328e-03	0.221377	7
C5AR2	10	4.2194e-04	2.6484e-03	0.221708	8
negative17	12	4.2529e-04	2.6670e-03	0.222297	10
OR2A5	10	4.3562e-04	2.7210e-03	0.224837	7
SLC40A1	10	4.3688e-04	2.7329e-03	0.224837	9
EDDM3A	11	4.4107e-04	2.7599e-03	0.224837	7
CRHR2	9	4.4151e-04	2.7615e-03	0.224837	7
LOC101927844	9	4.4246e-04	2.7677e-03	0.224837	6
negative215	12	4.4266e-04	2.7682e-03	0.224837	8
RRH	12	4.5034e-04	2.8221e-03	0.228247	7
negative32	11	4.5824e-04	2.8678e-03	0.230115	9
HMGXB4	7	4.5852e-04	2.8694e-03	0.230115	5
BMI1	10	4.6961e-04	2.9357e-03	0.232471	8
R3HDM1	8	4.7004e-04	2.9383e-03	0.232471	4
negative89	8	4.7159e-04	2.9472e-03	0.232471	5
CDHR4	9	4.7201e-04	2.9518e-03	0.232471	6
LDHAL6B	12	4.7510e-04	2.9700e-03	0.232471	10
PIK3C2G	12	4.7666e-04	2.9783e-03	0.232471	10
OR7G2	10	4.7754e-04	2.9840e-03	0.232471	5
ENOX2	12	4.8505e-04	3.0270e-03	0.234867	10
SLC26A2	11	4.9017e-04	3.0582e-03	0.236321	9
OR2H1	10	4.9329e-04	3.0815e-03	0.236968	9
ANKRD29	11	4.9533e-04	3.0914e-03	0.236968	7
PANK3	10	5.0704e-04	3.1614e-03	0.240590	9
RLTPR	11	5.0860e-04	3.1713e-03	0.240590	8
CPNE4	9	5.0935e-04	3.1764e-03	0.240590	8
SUV39H2	10	5.2280e-04	3.2574e-03	0.245618	9
SH3RF2	11	5.2729e-04	3.2817e-03	0.245618	9
SBNO2	10	5.2813e-04	3.2864e-03	0.245618	8
OR6C6	12	5.2905e-04	3.2947e-03	0.245618	9
HRNR	12	5.3103e-04	3.3072e-03	0.245618	10
KDELR2	12	5.4621e-04	3.3907e-03	0.250105	8
RCOR3	10	5.4688e-04	3.3938e-03	0.250105	9
OR10Q1	10	5.5391e-04	3.4374e-03	0.251289	9
CCDC74B	8	5.5427e-04	3.4425e-03	0.251289	6
HDGFL1	11	5.5673e-04	3.4607e-03	0.251289	9
COLCA2	10	5.5948e-04	3.4804e-03	0.251289	5
CD5	7	5.6085e-04	3.4892e-03	0.251289	7
NANOGNB	10	5.6135e-04	3.4929e-03	0.251289	9
PFKFB1	10	5.6379e-04	3.5064e-03	0.251289	6
OR8B8	9	5.6540e-04	3.5152e-03	0.251289	7
CDK18	8	5.6980e-04	3.5390e-03	0.252050	4
WRN	10	5.7512e-04	3.5702e-03	0.253322	9
YTHDF3	10	5.7815e-04	3.5878e-03	0.253630	9
KCNT1	10	5.8502e-04	3.6293e-03	0.255522	7
EBF2	12	5.8868e-04	3.6449e-03	0.255522	10
negative251	10	5.9072e-04	3.6547e-03	0.255522	5
SETSIP	7	5.9273e-04	3.6703e-03	0.255673	7
negative308	9	5.9881e-04	3.7014e-03	0.256904	7
negative16	11	6.0694e-04	3.7393e-03	0.257800	8
SPRR1A	9	6.0760e-04	3.7439e-03	0.257800	8
EN2	9	6.0972e-04	3.7548e-03	0.257800	8
GRAMD4	11	6.1664e-04	3.7917e-03	0.258646	9
NRSN1	11	6.1731e-04	3.7942e-03	0.258646	7
CNGA1	12	6.2065e-04	3.8140e-03	0.259064	9
CNIH3	6	6.2648e-04	3.8394e-03	0.259493	6
negative23	11	6.2830e-04	3.8487e-03	0.259493	8
NPIPB9	11	6.3217e-04	3.8731e-03	0.259493	9
ERO1B	8	6.3247e-04	3.8747e-03	0.259493	7
C6orf132	9	6.3645e-04	3.9006e-03	0.260316	7
CARD18	11	6.4152e-04	3.9250e-03	0.260881	9
CCDC122	8	6.4357e-04	3.9364e-03	0.260881	5
UNC13C	10	6.5277e-04	3.9857e-03	0.262410	8
CNTN5	10	6.5381e-04	3.9908e-03	0.262410	4
negative9	10	6.5548e-04	4.0007e-03	0.262410	8
MS4A3	9	6.7211e-04	4.0832e-03	0.265323	7
NOD1	9	6.7231e-04	4.0842e-03	0.265323	7
KCNV2	5	6.7298e-04	4.0868e-03	0.265323	5
SPDYE3	9	6.7941e-04	4.1174e-03	0.266404	7
ILK	8	6.8421e-04	4.1408e-03	0.267009	7
PPP1R3A	10	6.9002e-04	4.1714e-03	0.268077	8
GOLGA5	11	6.9872e-04	4.2201e-03	0.270300	8
FAM78B	11	7.1335e-04	4.3114e-03	0.274345	8
LYRM2	10	7.1373e-04	4.3130e-03	0.274345	7
PTPN6	11	7.1661e-04	4.3317e-03	0.274345	4
PJA1	12	7.1943e-04	4.3472e-03	0.274345	10
negative45	11	7.2275e-04	4.3690e-03	0.274345	8
negative243	7	7.2284e-04	4.3695e-03	0.274345	6
negative262	11	7.3731e-04	4.4484e-03	0.278380	9
C1orf186	10	7.4120e-04	4.4681e-03	0.278700	8
OR5AS1	8	7.5012e-04	4.5210e-03	0.281082	7
ATP8B1	12	7.5381e-04	4.5394e-03	0.281310	9
ERF	11	7.5694e-04	4.5568e-03	0.281473	5
EVI2B	10	7.7572e-04	4.6688e-03	0.287113	7
OR2T5	9	7.7720e-04	4.6782e-03	0.287113	7
BEST1	12	7.8270e-04	4.7067e-03	0.287938	10
SSTR3	11	7.9283e-04	4.7658e-03	0.289087	8
negative80	12	7.9551e-04	4.7798e-03	0.289087	10
POMT1	7	7.9608e-04	4.7850e-03	0.289087	4
LSR	9	7.9622e-04	4.7861e-03	0.289087	7
SUN2	9	8.0964e-04	4.8540e-03	0.292267	6
negative131	8	8.1319e-04	4.8742e-03	0.292359	5
TPTE	10	8.1494e-04	4.8862e-03	0.292359	8
SLC26A10	8	8.3490e-04	5.0018e-03	0.298345	4
HERC1	11	8.4655e-04	5.0599e-03	0.300101	9
PXMP4	10	8.5222e-04	5.0900e-03	0.300101	8
ZC3H6	11	8.5305e-04	5.0937e-03	0.300101	6
TPM3	10	8.5321e-04	5.0942e-03	0.300101	6
LRRC25	9	8.6546e-04	5.1673e-03	0.303473	2
MPC1L	12	8.7293e-04	5.2130e-03	0.305215	10
STAMBP	11	8.8492e-04	5.2737e-03	0.306886	6
STEAP4	11	8.8601e-04	5.2809e-03	0.306886	7
CCL11	9	8.9414e-04	5.3318e-03	0.306886	7
CCNI	12	8.9448e-04	5.3344e-03	0.306886	9
NRIP1	11	8.9454e-04	5.3344e-03	0.306886	7
TRIB2	12	8.9652e-04	5.3421e-03	0.306886	9
SCAMP1	11	8.9913e-04	5.3541e-03	0.306886	7
TMEM89	10	9.0239e-04	5.3717e-03	0.306975	7
GYPA	8	9.1040e-04	5.4158e-03	0.307888	6
PLEKHA6	10	9.1204e-04	5.4199e-03	0.307888	6
RFC1	5	9.2214e-04	5.4843e-03	0.309766	4
CSTA	10	9.2854e-04	5.5180e-03	0.309766	8
MDH2	12	9.3116e-04	5.5330e-03	0.309766	8
CD200R1	10	9.3463e-04	5.5501e-03	0.309766	6
GNG11	11	9.3708e-04	5.5678e-03	0.309766	7
MST1L	11	9.3780e-04	5.5704e-03	0.309766	8
APOBEC3A_B	11	9.3782e-04	5.5704e-03	0.309766	9
TMEM215	7	9.4026e-04	5.5828e-03	0.309766	4
PVRL3	8	9.4766e-04	5.6274e-03	0.309859	7
TRMT1L	9	9.5102e-04	5.6451e-03	0.309859	8
IL26	9	9.5435e-04	5.6617e-03	0.309859	6
CCDC39	9	9.5493e-04	5.6658e-03	0.309859	8
CHAC2	10	9.5530e-04	5.6674e-03	0.309859	6
ZNF774	11	9.5839e-04	5.6819e-03	0.309859	8
negative4	11	9.6202e-04	5.6990e-03	0.309907	9
TMEM87A	10	9.7029e-04	5.7426e-03	0.310675	7
TIMP1	10	9.7079e-04	5.7457e-03	0.310675	8
ATP6AP1L	10	9.8033e-04	5.7939e-03	0.312325	7
ACOX3	9	9.8557e-04	5.8261e-03	0.312325	8
DOCK3	10	9.8633e-04	5.8303e-03	0.312325	7
IQCJ-SCHIP1	11	9.8917e-04	5.8417e-03	0.312325	8
CARNS1	9	1.0066e-03	5.9428e-03	0.315396	4
SRPX	9	1.0076e-03	5.9454e-03	0.315396	7
SLC39A2	11	1.0091e-03	5.9553e-03	0.315396	8
TRAF3IP3	12	1.0143e-03	5.9812e-03	0.315396	5
negative82	11	1.0145e-03	5.9817e-03	0.315396	7
OTOP1	10	1.0186e-03	6.0014e-03	0.315563	5
GANAB	10	1.0236e-03	6.0269e-03	0.316029	7
PHTF2	9	1.0329e-03	6.0857e-03	0.318242	4
TNP1	10	1.0407e-03	6.1259e-03	0.319469	8
SEMA6B	9	1.0477e-03	6.1607e-03	0.319636	7
negative14	9	1.0495e-03	6.1685e-03	0.319636	7
TRERF1	11	1.0523e-03	6.1794e-03	0.319636	8
IAPP	11	1.0623e-03	6.2318e-03	0.321474	9
TMEM128	7	1.0708e-03	6.2764e-03	0.322062	6
negative20	12	1.0710e-03	6.2769e-03	0.322062	8
IFIT1	10	1.0766e-03	6.3080e-03	0.322791	8
WARS2	10	1.0856e-03	6.3537e-03	0.323454	4
COL5A2	12	1.0872e-03	6.3614e-03	0.323454	5
SLC2A6	10	1.0897e-03	6.3718e-03	0.323454	3
CSRP3	11	1.0926e-03	6.3900e-03	0.323516	9
UGT2A1	12	1.1001e-03	6.4242e-03	0.324388	9
negative263	9	1.1069e-03	6.4553e-03	0.325100	8
SNN	11	1.1134e-03	6.4906e-03	0.325350	8
KIAA2018	11	1.1181e-03	6.5160e-03	0.325350	3
NPY5R	11	1.1197e-03	6.5238e-03	0.325350	8
CLLU1OS	10	1.1202e-03	6.5285e-03	0.325350	7
KIAA1211L	11	1.1299e-03	6.5814e-03	0.327132	8
TDRD15	11	1.1433e-03	6.6530e-03	0.329832	9
negative269	7	1.1559e-03	6.7204e-03	0.332312	6
OR4S2	11	1.1660e-03	6.7764e-03	0.334216	8
NLRP2	8	1.1764e-03	6.8330e-03	0.336136	6
FOXRED1	7	1.1810e-03	6.8594e-03	0.336570	4
PEG10	12	1.1853e-03	6.8854e-03	0.336976	6
HOXD3	9	1.1974e-03	6.9486e-03	0.339122	8
negative239	9	1.2003e-03	6.9647e-03	0.339122	7
AHSA2	10	1.2096e-03	7.0114e-03	0.339737	6
VIPR2	9	1.2104e-03	7.0130e-03	0.339737	8
CXorf23	10	1.2141e-03	7.0327e-03	0.339830	7
negative29	12	1.2200e-03	7.0576e-03	0.339888	8
IFNGR1	10	1.2218e-03	7.0695e-03	0.339888	7
LRRC73	8	1.2346e-03	7.1452e-03	0.340641	7
CLEC12A	12	1.2393e-03	7.1681e-03	0.340641	8
PGLYRP2	9	1.2406e-03	7.1769e-03	0.340641	6
CLVS1	10	1.2438e-03	7.1893e-03	0.340641	8
RNASEK	5	1.2460e-03	7.2028e-03	0.340641	4
KIAA1755	9	1.2469e-03	7.2085e-03	0.340641	8
COL7A1	9	1.2474e-03	7.2101e-03	0.340641	7
LRRC46	10	1.2509e-03	7.2293e-03	0.340704	8
PHC1	11	1.2604e-03	7.2806e-03	0.342279	7
FGF7	11	1.2672e-03	7.3133e-03	0.342971	8
LIMD1	12	1.2769e-03	7.3745e-03	0.344295	6
EPHA3	11	1.2773e-03	7.3776e-03	0.344295	8
GABRA5	10	1.2836e-03	7.4124e-03	0.344740	8
negative81	9	1.2858e-03	7.4233e-03	0.344740	7
TAAR5	6	1.2943e-03	7.4591e-03	0.345040	6
GNLY	7	1.2957e-03	7.4663e-03	0.345040	3
ZBED4	10	1.2989e-03	7.4840e-03	0.345040	8
MGME1	10	1.3109e-03	7.5457e-03	0.345644	4
ATG4B	10	1.3115e-03	7.5498e-03	0.345644	8
PANX1	9	1.3119e-03	7.5514e-03	0.345644	4
ATF7IP2	8	1.3150e-03	7.5711e-03	0.345717	3
P2RY14	10	1.3222e-03	7.6043e-03	0.345981	8
ULBP2	7	1.3243e-03	7.6131e-03	0.345981	3
RAB13	8	1.3330e-03	7.6603e-03	0.346523	6
JAK2	11	1.3332e-03	7.6614e-03	0.346523	9
MKRN2OS	9	1.3373e-03	7.6842e-03	0.346734	8
FAM185A	9	1.3526e-03	7.7698e-03	0.348071	7
SH3BGR	11	1.3550e-03	7.7859e-03	0.348071	6
PEX11G	2	1.3587e-03	7.8082e-03	0.348071	1
GIN1	10	1.3647e-03	7.8398e-03	0.348071	7
IL13RA1	8	1.3684e-03	7.8611e-03	0.348071	5
PRAMEF4	11	1.3685e-03	7.8616e-03	0.348071	8
GIMAP4	10	1.3711e-03	7.8730e-03	0.348071	7
CLVS2	8	1.3734e-03	7.8855e-03	0.348071	6
negative247	11	1.3800e-03	7.9176e-03	0.348071	9
RAD51B	5	1.3802e-03	7.9187e-03	0.348071	1
SLC22A13	9	1.3829e-03	7.9296e-03	0.348071	6
GMDS	11	1.3835e-03	7.9327e-03	0.348071	9
MAP2K5	9	1.3877e-03	7.9576e-03	0.348363	6
negative296	12	1.3945e-03	7.9908e-03	0.348418	9
SPRR2A	10	1.3956e-03	7.9975e-03	0.348418	4
PRR3	11	1.3987e-03	8.0136e-03	0.348418	7
GBP3	10	1.4094e-03	8.0784e-03	0.350439	5
PALM3	11	1.4187e-03	8.1308e-03	0.351912	8
PTGES3L-AARSD1	9	1.4235e-03	8.1505e-03	0.351958	3
KCTD18	9	1.4292e-03	8.1780e-03	0.351958	7
RPL22L1	6	1.4386e-03	8.2190e-03	0.351958	4
ZNF362	9	1.4432e-03	8.2434e-03	0.351958	6
PNOC	9	1.4447e-03	8.2475e-03	0.351958	5
ASAH2B	7	1.4481e-03	8.2641e-03	0.351958	4
CMTM4	11	1.4513e-03	8.2781e-03	0.351958	7
GDF3	9	1.4517e-03	8.2797e-03	0.351958	8
TMEM244	12	1.4544e-03	8.2979e-03	0.351958	6
IGSF22	9	1.4584e-03	8.3233e-03	0.352254	8
C2orf69	6	1.4656e-03	8.3554e-03	0.352832	5
